Plant_Name,Scientific_Name,Time_to_Flower(Days),Native_Region
Kalanchoe,Kalanchoe blossfeldiana,90-120,Madagascar/Africa
Kale,Brassica oleracea var. sabellica,50-70,Eastern Mediterranean/Asia Minor
Kalmia,Kalmia latifolia,365-730,North America
Kankakee Globe Mallow,Iliamna remota,60-90,Illinois
Kankakee Mallow,Iliamna remota,60-90,Illinois
Kauaʻi Geranium,Geranium kauaiense,60-90,Hawaii
Kentia Palm,Howea forsteriana,1825-2920,Lord Howe Island
Kentucky Coffeetree,Gymnocladus dioicus,1825-3650,Central/Eastern US
King Sundew,Drosera regia,365-730,South Africa
Kiwi,Actinidia deliciosa,1095-1460,China
Kohlrabi,Brassica oleracea var. gongylodes,50-70,Northern Europe
Komatsuna,Brassica rapa var. perviridis,30-40,East Asia
Konjac,Amorphophallus konjac,180-210,Asia
Korean Pine,Pinus koraiensis,1460-2190,Korea/Northeast China
Laburnum,Laburnum anagyroides,365-730,Europe
Lace Fern,Asparagus setaceus,180-365,South Africa
Lady Palm,Rhapis excelsa,1825-2920,Southeast China
Lakeside Daisy,Tetraneuris herbacea,60-90,Great Lakes Region
Lakeside Sedge,Carex lacustris,60-90,Great Lakes Region
Lamb's Lettuce,Valerianella locusta,50-60,Europe/North Africa/West Asia
Langsat,Lansium parasiticum,730-1095,Southeast Asia
Lantana,Lantana camara,90-120,Central/South America
Large-flowered Skullcap,Scutellaria montana,60-90,Eastern United States
Larkspur,Delphinium spp.,90-120,Northern Hemisphere
Laurel,Laurus nobilis,365-730,Europe/Asia
Lavender,Lavandula angustifolia,90-120,Mediterranean
Leadplant,Amorpha canescens,730-1095,North America
Leek,Allium ampeloprasum,120-150,Central Asia
Lemon Balm,Melissa officinalis,60-90,Southern Europe
Lemon Verbena,Aloysia citrodora,90-120,South America
Lentil,Lens culinaris,80-100,Mediterranean/West Asia
Leren,Calathea allouia,90-120,Central America
Lettuce,Lactuca sativa,45-60,Mediterranean
Lilac,Syringa vulgaris,365-730,Europe/Asia
Lily,Lilium spp.,90-120,Northern Hemisphere (various)
Lily of the Valley,Convallaria majalis,365,Europe/Asia
Lily-of-the-Valley,Convallaria majalis,365,Europe/Asia
Lima Bean,Phaseolus lunatus,80-95,Central/South America
Lingonberry,Vaccinium vitis-idaea,730-1095,Northern Europe/Asia/North America
Lithops,Lithops spp.,365-730,Southern Africa
Little Bluestem,Schizachyrium scoparium,365-730,North America
Little Walnut,Juglans microcarpa,1825-3650,Southwestern US/Mexico
Lizard's Tail,Saururus cernuus,60-90,Eastern North America
Loblolly Pine,Pinus taeda,1825-3650,Southeastern United States
Locoweed,Astragalus spp.,60-90,North America
Loganberry,Rubus × loganobaccus,365-730,North America (hybrid origin)
Long Pepper,Piper longum,1095-1460,India/Indonesia
Longan,Dimocarpus longan,1095-1460,Southeast Asia
Loquat,Eriobotrya japonica,365-730,China
Lords-and-Ladies,Arum maculatum,90-120,Europe
Lotus,Nelumbo nucifera,90-120,Asia/Australia
Lotus Root,Nelumbo nucifera,120-150,Asia
Lovage,Levisticum officinale,90-120,Southern Europe
Lovage Seed,Levisticum officinale,90-120,Southern Europe
Love-in-a-Mist,Nigella damascena,60-90,Europe/Asia
Lucky Bamboo,Dracaena sanderiana,180-365,Africa
Lucuma,Pouteria lucuma,1095-1460,South America
Ludwigia,Ludwigia palustris,60-90,Americas
Lupin Root,Lupinus spp.,90-120,Europe
Lupine,Lupinus spp.,60-90,Northern Hemisphere (various)
Lychee,Litchi chinensis,1095-1460,China/Southeast Asia
Maca,Lepidium meyenii,180-210,Andes/South America
Macadamia,Macadamia integrifolia,1460-2190,Eastern Australia
Mace,Myristica fragrans,1825-2190,Maluku Islands (Indonesia)
Madagascar Dragon Tree,Dracaena marginata,365-730,Madagascar
Magnolia,Magnolia grandiflora,1825-3650,East/Southeast Asia/North America
Mahlab,Prunus mahaleb,1460-2190,Eastern Mediterranean
Maidenhair Fern,Adiantum spp.,180-365,Worldwide (various)
Malabar Chestnut,Pachira aquatica,1460-2190,Central/South America
Malabar Spinach,Basella alba,30-60,South Asia
Malanga,Xanthosoma sagittifolium,210-240,South America
Mandrake,Mandragora officinarum,365-730,Europe/Mediterranean
Mango,Mangifera indica,1460-2190,South Asia
Mangosteen,Garcinia mangostana,1460-2190,Southeast Asia
Manioc,Manihot esculenta,210-270,South America
Maple,Acer spp.,1825-3650,Northern Hemisphere (various)
Marama Bean,Tylosema esculentum,120-180,Southern Africa
Marigold,Tagetes spp.,50-60,Mexico/Central America
Marimo,Aegagropila linnaei,365-730,Northern Hemisphere (lakes)
Marionberry,Rubus × 'Marion',365-730,Oregon (cultivar)
Marjoram,Origanum majorana,60-90,Mediterranean
Marsh Marigold,Caltha palustris,60-90,Northern Hemisphere (various)
Mashua,Tropaeolum tuberosum,120-150,Andes/South America
Mastic,Pistacia lentiscus,1460-2190,Greek Islands
Mauka,Mirabilis expansa,180-210,South America
Mayapple,Podophyllum peltatum,365-730,Eastern North America
Meadow Garlic,Allium canadense,60-90,North America
Meadow Rue,Thalictrum spp.,60-120,Europe/Asia/North America
Medlar,Mespilus germanica,730-1095,Southwest Asia/Europe
Melegueta Pepper,Aframomum melegueta,1095-1460,West Africa
Menzies' Wallflower,Erysimum menziesii,60-90,California
Mexican Butterwort,Pinguicula moranensis,365-730,Mexico/Central America
Milkweed,Asclepias spp.,365,North America/Africa
Mint,Mentha spp.,60-90,Europe/Asia/Africa
Missouri Bladderpod,Physaria filiformis,60-90,Missouri
Mistletoe,Viscum album,365-730,Europe/Asia/North America
Mizuna,Brassica rapa var. nipposinica,30-40,East Asia
Mock Orange,Philadelphus coronarius,730-1460,Europe/Asia/North America
Mockernut Hickory,Carya tomentosa,1825-3650,Eastern United States
Monkey Cup,Nepenthes spp.,730-1460,Southeast Asia (Borneo/Sumatra/etc.)
Monkey Flower,Mimulus guttatus,60-90,North America
Monkey Puzzle,Araucaria araucana,4380-10950,Chile/Argentina
Monkshood,Aconitum napellus,365-730,Europe/Asia/North America
Monodora,Monodora myristica,1460-2190,Central/West Africa
Monstera,Monstera deliciosa,365-730,Central/South America
Moonflower,Ipomoea alba,60-90,Tropical Americas
Moonseed,Menispermum canadense,90-120,North America
Moringa,Moringa oleifera,365-730,India
Morning Glory,Ipomoea purpurea,60-90,Tropical/Subtropical Americas
Mosquito Fern,Azolla filiculoides,30-60,Americas
Moth Bean,Vigna aconitifolia,60-80,India/Pakistan
Motherwort,Leonurus cardiaca,60-90,Asia/Europe
Mountain Ash,Sorbus americana,1825-3650,Europe/Asia/North America
Mountain Laurel,Kalmia latifolia,365-730,Eastern United States
Mugwort,Artemisia vulgaris,60-90,Europe/Asia/North Africa
Muhly Grass,Muhlenbergia spp.,365-730,North America
Mulberry,Morus alba,730-1095,Asia/Africa/North America
Mullein,Verbascum thapsus,60-120,Europe/Asia/North Africa
Mung Bean,Vigna radiata,60-70,India
Mustard Greens,Brassica juncea,30-40,Europe/Asia
Mustard Seed,Brassica nigra,365-730,Europe/South Asia
Nandina,Nandina domestica,365-730,East Asia
Napa Cabbage,Brassica rapa subsp. pekinensis,60-80,China
Narcissus,Narcissus pseudonarcissus,90-120,Europe/North Africa/Asia
Nasturtium,Tropaeolum majus,50-60,South America
Nerve Plant,Fittonia albivenis,60-90,Peru
New Jersey Tea,Ceanothus americanus,60-120,Eastern North America
New York Aster,Symphyotrichum novi-belgii,60-90,Eastern North America
New Zealand Spinach,Tetragonia tetragonioides,50-60,New Zealand/Australia
Nigella,Nigella sativa,90-120,Southwest Asia
Ninebark,Physocarpus opulifolius,365-730,North America
Nopal (Cactus Pad),Opuntia spp.,365-730,Mexico
Norfolk Island Pine,Araucaria heterophylla,1825-3650,Norfolk Island
Northern Bayberry,Myrica pensylvanica,365-730,North America
Northern Red Oak,Quercus rubra,1825-3650,North America
Northern Sea Oats,Chasmanthium latifolium,90-120,North America
Northern Wild Monkshood,Aconitum noveboracense,60-90,Northeastern United States
Nutmeg,Myristica fragrans,1825-2190,Maluku Islands (Indonesia)
Oak,Quercus spp.,1825-3650,Northern Hemisphere (various)
Obedient Plant,Physostegia virginiana,60-90,Eastern North America
Oca,Oxalis tuberosa,150-180,Andes/South America
Oconee Bells,Shortia galacifolia,60-90,South Carolina
Ohio Buckeye,Aesculus glabra,1825-3650,Midwestern United States
Okari Nut,Terminalia kaernbachii,1460-2190,New Guinea
Okra,Abelmoschus esculentus,50-65,Africa/South Asia
Old Man Cactus,Cephalocereus senilis,1825-3650,Mexico
Oleander,Nerium oleander,365-730,Mediterranean
Olive,Olea europaea,1460-2190,Mediterranean
Onion,Allium cepa,90-120,Central Asia
Oregano,Origanum vulgare,60-90,Europe/Mediterranean
Ornamental Pepper,Capsicum annuum,60-90,Central/South America
Overcup Oak,Quercus lyrata,1825-3650,Southeastern United States
Oxalis,Oxalis spp.,60-90,South Africa/South America
Pak Choi,Brassica rapa subsp. chinensis,45-60,China
Palmer’s Grapplinghook,Harpagonella palmeri,60-90,California
Panda Plant,Kalanchoe tomentosa,180-365,Madagascar
Pansy,Viola tricolor var. hortensis,60-90,Europe/Western Asia
Paprika,Capsicum annuum,60-120,Central/South America
Papyrus,Cyperus papyrus,365-730,Africa
Parrot Pitcher Plant,Sarracenia psittacina,730-1460,Southeastern United States
Parrot’s Feather,Myriophyllum aquaticum,60-90,South America
Parsley,Petroselinum crispum,70-90,Central Mediterranean
Parsnip,Pastinaca sativa,95-120,Eurasia
Pasque Flower,Pulsatilla vulgaris,90-120,Europe/Asia/North America
Passionflower,Passiflora incarnata,365-730,Americas
Passionfruit,Passiflora edulis,365-730,South America
Pawpaw,Asimina triloba,1825-2920,Eastern North America
Pea Shoots,Pisum sativum,30-40,Europe/Asia
Peace Lily,Spathiphyllum wallisii,180-365,Central & South America
Peach,Prunus persica,730-1095,China
Peanut,Arachis hypogaea,120-150,South America
Peanut Cactus,Echinopsis chamaecereus,365-730,Argentina
Pear,Pyrus communis,1460-2190,Europe/Asia
Pecan,Carya illinoinensis,1825-3650,Central/Southern USA
Pecan (Native),Carya illinoinensis,1825-3650,Southern United States
Pennyroyal,Mentha pulegium,60-90,Europe/North Africa
Peony,Paeonia lactiflora,730-1095,Europe/Asia/North America
Peperomia,Peperomia obtusifolia,90-180,Central/South America
Perilla,Perilla frutescens,60-90,East Asia
Periwinkle,Vinca minor,60-90,Europe/Africa/Asia
Persimmon,Diospyros kaki,1825-2920,East Asia/North America
Petunia,Petunia × atkinsiana,60-80,South America
Philodendron,Philodendron spp.,180-365,Central/South America
Phlox,Phlox paniculata,60-90,North America
Pickerel Rush,Pontederia cordata,90-120,North America
Pickerelweed,Pontederia cordata,90-120,Americas
Pignut Hickory,Carya glabra,1825-3650,Eastern United States
Pili Nut,Canarium ovatum,1460-2190,Philippines
Pincushion Cactus,Mammillaria spp.,365-730,Southwestern US/Mexico
Pine,Pinus spp.,1825-3650,Northern Hemisphere (various)
Pine Nut (Single-leaf),Pinus monophylla,1460-2190,Western US
Pineapple Sage,Salvia elegans,90-120,Mexico/Guatemala
Pink Ginger,Alpinia purpurata,365-730,Southeast Asia
Pink Peppercorn,Schinus molle,1095-1460,South America
Pinto Bean,Phaseolus vulgaris,80-100,Mexico
Pistachio,Pistacia vera,1460-2190,West Asia
Pitcher Plant,Sarracenia spp.,730-1460,"Americas, Asia"
Pitcher’s Thistle,Cirsium pitcheri,60-90,Great Lakes Region
Plum,Prunus domestica,730-1095,Europe/Asia
Plymouth Gentian,Sabatia kennedyana,60-90,Massachusetts
Poison Hemlock,Conium maculatum,60-90,Europe/North Africa/Asia
Pokeweed,Phytolacca americana,60-90,Eastern North America
Polka Dot Plant,Hypoestes phyllostachya,60-90,Madagascar
Pomegranate,Punica granatum,730-1095,Iran/North India
Pondweed,Potamogeton spp.,60-90,Worldwide (aquatic)
Ponytail Palm,Beaucarnea recurvata,1095-1460,Eastern Mexico
Poppy,Papaver somniferum,60-90,Eurasia
Poppy Seed,Papaver somniferum,90-120,Eurasia
Portuguese Sundew,Drosophyllum lusitanicum,365-730,Portugal/North Africa
Portulaca,Portulaca grandiflora,50-60,South America
Post Oak,Quercus stellata,1825-3650,Eastern United States
Potato,Solanum tuberosum,80-100,South America
Potato Onion,Allium cepa var. aggregatum,90-120,Central Asia
Pothos,Epipremnum aureum,180-365,Solomon Islands
Prairie Blazing Star,Liatris pycnostachya,365-730,Central United States
Prairie Dropseed,Sporobolus heterolepis,365-730,Central North America
Prairie Smoke,Geum triflorum,60-120,North America
Prairie Turnip,Pediomelum esculentum,90-120,Central North America
Prayer Plant,Maranta leuconeura,90-120,Brazil
Prickly Pear,Opuntia ficus-indica,365-730,Americas
Primrose,Primula vulgaris,60-120,Europe/Asia/North America
Privet,Ligustrum vulgare,365-730,Europe/Asia/North Africa
Pulasan,Nephelium ramboutan-ake,1095-1460,Southeast Asia
Pulmonaria,Pulmonaria officinalis,60-90,Europe/Asia
Pumpkin,Cucurbita pepo,80-120,Central/North America
Purple Carrot,Daucus carota,60-80,Central Asia
Purple Coneflower,Echinacea purpurea,365-730,Central/Eastern North America
Purple Moor Grass,Molinia caerulea,365-730,Europe/Asia
Purple Pitcher Plant,Sarracenia purpurea,730-1460,North America (Canada & NE USA)
Purple Prairie Clover,Dalea purpurea,60-90,Central North America
Purple Yam,Dioscorea alata,180-210,Asia
Purslane,Portulaca oleracea,50-60,Europe/Asia
Queen of the Night,Epiphyllum oxypetalum,1825-3650,Central America
Queensland Nut (Bopple Nut),Macadamia integrifolia,1460-2190,Eastern Australia
Quince,Cydonia oblonga,730-1095,West Asia
Radicchio,Cichorium intybus,80-100,Italy
Radish,Raphanus sativus,25-40,Europe/Asia
Rainbow Plant,Byblis liniflora,365-730,Australia
Rambutan,Nephelium lappaceum,1095-1460,Southeast Asia
Ramps,Allium tricoccum,60-90,North America
Raspberry,Rubus idaeus,365-730,Europe/Asia/North America
Red Beet,Beta vulgaris,55-70,Europe/Western Asia
Red Chokeberry,Aronia arbutifolia,730-1460,Eastern North America
Red Maple,Acer rubrum,1825-3650,Eastern North America
Red Mulberry,Morus rubra,730-1095,Eastern North America
Red Pine,Pinus resinosa,1825-3650,Northeastern North America
Red Twig Dogwood,Cornus sericea,730-1460,North America
Redbud,Cercis canadensis,1460-2190,North America/Asia
Reed Canary Grass,Phalaris arundinacea,365-730,Northern Hemisphere
Rhododendron,Rhododendron spp.,365-730,Asia/Europe/North America
Rhubarb,Rheum rhabarbarum,365-730,Asia
River Birch,Betula nigra,1825-3650,Eastern United States
River Oats,Chasmanthium latifolium,90-120,North America
Roman Chamomile,Chamaemelum nobile,60-90,Europe
Romanesco,Brassica oleracea var. botrytis,90-100,Italy
Roridula,Roridula gorgonias,730-1460,South Africa
Rosary Pea,Abrus precatorius,60-90,India
Rose,Rosa chinensis,365-730,Asia/Europe/North America
Rosemary,Rosmarinus officinalis,90-120,Mediterranean
Rothrock’s Townsend Daisy,Townsendia rothrockii,60-90,Arizona
Rough-leaved Loosestrife,Lysimachia asperulifolia,60-90,Eastern United States
Rubber Plant,Ficus elastica,365-730,South Asia
Rue,Ruta graveolens,60-90,Southern Europe
Running Buffalo Clover,Trifolium stoloniferum,60-90,Central/Eastern United States
Russian Sage,Perovskia atriplicifolia,60-90,Central Asia
Rutabaga,Brassica napus napobrassica,80-100,Scandinavia/Russia
Rutabaga,Brassica napus var. napobrassica,80-100,Scandinavia/Russia
Saffron,Crocus sativus,180-210,Southwest Asia
Sage,Salvia officinalis,60-90,Mediterranean
Sago Palm,Cycas revoluta,1825-3650,Japan/Southeast Asia
Saguaro,Carnegiea gigantea,7300-14600,Sonoran Desert (US/Mexico)
Salmonberry,Rubus spectabilis,365-730,North America
Salsify,Tragopogon porrifolius,120-150,Europe
Salvia,Salvia splendens,60-90,Americas/Eurasia
Salvinia,Salvinia natans,30-60,South America/Africa
San Clemente Island Lotus,Acmispon dendroideus var. traskiae,60-90,California
San Diego Thornmint,Acanthomintha ilicifolia,60-90,California
San Francisco Lessingia,Lessingia germanorum,60-90,California
Santa Cruz Tarplant,Holocarpha macradenia,60-90,California
Santa Monica Mountains Dudleya,Dudleya cymosa subsp. ovatifolia,60-90,California
Santa Rosa Island Manzanita,Arctostaphylos confertiflora,60-90,California
Santol,Sandoricum koetjape,1460-2190,Southeast Asia
Sapodilla,Manilkara zapota,1460-2190,Central America
Sassafras,Sassafras albidum,1825-3650,Eastern North America/Asia
Savory (Summer),Satureja hortensis,50-60,Southern Europe
Scarlet Runner Bean,Phaseolus coccineus,70-90,Central America
Schefflera,Schefflera arboricola,730-1460,Taiwan/New Guinea
Scorzonera,Scorzonera hispanica,120-150,Southern Europe
Scotch Broom,Cytisus scoparius,60-90,Europe
Sedum,Sedum acre,60-90,Northern Hemisphere (various)
Sedum morganianum,Sedum morganianum,365,Mexico/Honduras
Senecio mandraliscae,Senecio mandraliscae,180-365,South Africa
Senecio rowleyanus,Senecio rowleyanus,180-365,Southwest Africa
Sentry Palm,Howea forsteriana,1460-2190,Lord Howe Island
Serviceberry,Amelanchier canadensis,365-730,North America
Shagbark Hickory,Carya ovata,1825-3650,Eastern North America
Shallot,Allium cepa var. aggregatum,90-120,Central/Southwest Asia
Shasta Daisy,Leucanthemum × superbum,60-90,Hybrid/Europe
Shasta Snow-wreath,Neviusia cliftonii,60-90,California
Shellbark Hickory,Carya laciniosa,1825-3650,Eastern North America
Shooting Star,Dodecatheon meadia,60-90,North America
Short-leaved Pinebarren Milkwort,Polygala lewtonii,60-90,New Jersey
Short's Bladderpod,Physaria globosa,60-90,United States (Midwest)
Showy Goldenrod,Solidago speciosa,60-90,North America
Shumard Oak,Quercus shumardii,1825-3650,Central/Eastern United States
Sichuan Pepper,Zanthoxylum piperitum,1095-1460,China
Silver Grass,Miscanthus sinensis,365-730,East Asia
Skirret,Sium sisarum,120-150,Europe/Asia
Slippery Elm,Ulmus rubra,1825-3650,Eastern North America
Small Whorled Pogonia,Isotria medeoloides,60-90,Eastern United States
Snake Gourd,Trichosanthes cucumerina,60-90,South Asia
Snake Plant,Sansevieria trifasciata,180-365,West Africa
Snakeroot,Asarum canadense,60-90,Eastern North America
Snap Pea,Pisum sativum var. macrocarpon,60-70,Southwest Asia
Snapdragon,Antirrhinum majus,90-120,Europe/North Africa
Sneed’s Pincushion Cactus,Coryphantha sneedii var. sneedii,60-90,Tennessee
Sneezeweed,Helenium autumnale,60-90,North America
Snow Pea,Pisum sativum var. macrocarpon,60-70,Asia
Snowberry,Symphoricarpos albus,365-730,North America/Eurasia
Soaproot,Chlorogalum pomeridianum,90-120,Western North America
Solidago shortii,Solidago shortii,60-90,Kentucky
Solomon’s Seal,Polygonatum biflorum,365-730,Europe/Asia/North America
Sorrel,Rumex acetosa,40-60,Europe/Asia
Soursop,Annona muricata,730-1095,Caribbean/Central America
Soybean,Glycine max,80-100,East Asia
Spaghetti Squash,Cucurbita pepo,60-90,Central/North America
Spalding’s Catchfly,Silene spaldingii,60-90,Pacific Northwest
Spanish Moss,Tillandsia usneoides,365-730,Southeastern US/Central & South America
Spicebush,Lindera benzoin,365-730,Eastern North America
Spider Flower,Cleome hassleriana,60-90,South America
Spider Plant,Chlorophytum comosum,60-90,South Africa
Spiderwort,Tradescantia virginiana,60-90,Americas
Spinach,Spinacia oleracea,40-50,Asia
Spirea,Spiraea japonica,365-730,Northern Hemisphere (various)
Split-Leaf Philodendron,Monstera deliciosa,180-365,Central America
Spoon-leaved Sundew,Drosera intermedia,365-730,Europe
Spring Creek Bladderpod,Lesquerella perforata,60-90,Arkansas
Spruce,Picea abies,1825-3650,Northern Hemisphere (various)
Spurge,Euphorbia spp.,60-120,Worldwide (various)
St. Francis’ Satyr,Neonympha mitchellii francisci,60-90,North Carolina
St. John's Wort,Hypericum perforatum,60-90,Europe/Asia
Staghorn Fern,Platycerium bifurcatum,180-365,Australia/Southeast Asia/Africa
Stapelia gigantea,Stapelia gigantea,365-730,Southern Africa
Star Anise,Illicium verum,1095-1460,China/Vietnam
Star of Bethlehem,Ornithogalum umbellatum,90-120,Europe/Asia/Africa
Starfruit,Averrhoa carambola,730-1095,Southeast Asia
Stebbins’ Morning-glory,Calystegia stebbinsii,60-90,California
Stevia,Stevia rebaudiana,70-90,South America
Stiff Goldenrod,Oligoneuron rigidum,60-90,North America
Stinging Nettle,Urtica dioica,60-90,Europe/Asia/Africa/North America
Stock,Matthiola incana,50-60,Europe
Stone Pine,Pinus pinea,1460-2190,Mediterranean
Strawberry,Fragaria × ananassa,90-120,Worldwide (hybrid origin)
String of Bananas,Senecio radicans,180-365,Southwest Africa
String of Hearts,Ceropegia woodii,180-365,South Africa/Zimbabwe
String of Pearls,Senecio rowleyanus,180-365,Southwest Africa
Sugar Apple,Annona squamosa,730-1095,Caribbean/Central America
Sugar Beet,Beta vulgaris,55-70,Europe/Western Asia
Sugar Maple,Acer saccharum,1825-3650,Eastern North America
Sugar Root,Oenanthe pimpinelloides,90-120,Europe/Asia
Sugar Snap Pea,Pisum sativum var. macrocarpon,60-70,Southwest Asia
Sugarberry,Celtis laevigata,1825-3650,Southeastern United States
Sugarcane,Saccharum officinarum,365-730,South Asia
Sumac,Rhus typhina,365-730,North America/Africa/Eurasia
Sumac,Rhus coriaria,90-120,Mediterranean/Middle East
Summer Savory,Satureja hortensis,50-60,Southern Europe
Summersweet,Clethra alnifolia,365-730,North America
Sunchoke,Helianthus tuberosus,120-150,North America
Sunchoke (Jerusalem Artichoke),Helianthus tuberosus,120-150,North America
Sundew,Drosera rotundifolia,365-730,Worldwide (several genera)
Sunflower,Helianthus annuus,70-100,North America
Surinam Cherry,Eugenia uniflora,365-730,South America
Swamp Milkweed,Asclepias incarnata,365,North America
Swamp Rose,Rosa palustris,365-730,North America
Swamp White Oak,Quercus bicolor,1825-3650,North America
Swede,Brassica napus napobrassica,80-100,Scandinavia/Russia
Sweet Alyssum,Lobularia maritima,40-60,Mediterranean
Sweet Autumn Clematis,Clematis terniflora,365-730,Asia
Sweet Bay,Laurus nobilis,1095-1460,Mediterranean
Sweet Cicely,Myrrhis odorata,90-120,Europe/Asia
Sweet Corn,Zea mays,60-100,Central America
Sweet Flag,Acorus calamus,90-120,Europe/Asia/North America
Sweet Pea,Lathyrus odoratus,60-90,Mediterranean
Sweet Potato,Ipomoea batatas,90-120,Central/South America
Sweet Rocket,Hesperis matronalis,60-90,Europe
Sweet Violet,Viola odorata,60-90,Europe/Asia
Sweet William,Dianthus barbatus,90-120,Southern Europe
Sweet Woodruff,Galium odoratum,60-90,Europe/Asia
Sweetbay Magnolia,Magnolia virginiana,1825-3650,Southeastern United States
Sweetgum,Liquidambar styraciflua,1825-3650,Eastern North America
Sweetshrub,Calycanthus floridus,365-730,North America
Sweetspire,Itea virginica,365-730,Southeastern North America
Swiss Chard,Beta vulgaris subsp. cicla,50-60,Mediterranean
Swiss Cheese Plant,Monstera deliciosa,180-365,Central America
Switchgrass,Panicum virgatum,365-730,North America
Sycamore,Platanus occidentalis,1825-3650,Europe/Asia/North America
Syngonium,Syngonium podophyllum,120-180,Central/South America
Szechuan Leaf (Toothache Plant),Acmella oleracea,60-90,South America
Szechuan Lovage,Levisticum officinale,90-120,China
Szechuan Pepper,Zanthoxylum piperitum,1095-1460,China
Tabasco Pepper,Capsicum frutescens,60-120,Central America
Tamarack,Larix laricina,1825-3650,Northern North America
Tamarillo,Solanum betaceum,365-730,South America
Tamarind,Tamarindus indica,1460-2190,Africa
Tannia,Xanthosoma sagittifolium,210-240,South America
Tape Grass,Vallisneria spiralis,30-60,Worldwide (aquatic)
Taro,Colocasia esculenta,180-210,South Asia
Tarragon,Artemisia dracunculus,60-90,Eurasia
Tat Soi,Brassica rapa subsp. narinosa,30-45,East Asia
Tatsoi,Brassica rapa subsp. narinosa,30-45,East Asia
Tennessee Coneflower,Echinacea tennesseensis,60-90,Tennessee
Tennessee Yellow-eyed Grass,Xyris tennesseensis,60-90,Tennessee
Texas Ayenia,Ayenia limitaris,60-90,Texas
Texas Poppy-mallow,Callirhoe scabriuscula,60-90,Texas
Texas Wild Rice,Zizania texana,120-150,Texas
Tharp’s Blue Star,Amsonia tharpii,60-90,Texas
Thimbleberry,Rubus parviflorus,365-730,North America
Three Birds Orchid,Triphora trianthophoros,60-90,Eastern United States
Thyme,Thymus vulgaris,60-90,Mediterranean
Tickseed,Coreopsis tinctoria,70-100,North & South America
Tiger Nut,Cyperus esculentus,120-150,Mediterranean/Africa
Tillandsia,Tillandsia spp.,60-90,Americas
Toad Lily,Tricyrtis hirta,90-120,Asia
Tomatillo,Physalis philadelphica,60-80,Central America
Tomato,Solanum lycopersicum,60-85,South America
Tomato (wild),Solanum pimpinellifolium,60-85,South America
Toothcup,Rotala ramosior,60-90,Eastern United States
Torrey’s Crag Lily,Hesperocallis undulata,60-90,California
Trillium,Trillium grandiflorum,730-1095,North America/Asia
Tropical Almond,Terminalia catappa,1460-2190,Tropical Asia/Africa/Americas
Tropical Pitcher Plant,Nepenthes spp.,730-1460,Southeast Asia
Trumpet Pitcher,Sarracenia minor,730-1460,Southeastern United States
Trumpet Vine,Campsis radicans,365-730,Southeastern North America
Tulip,Tulipa spp.,90-120,Central Asia
Tulip Poplar,Liriodendron tulipifera,1825-3650,Eastern North America
Tulip Tree,Liriodendron tulipifera,1825-3650,Eastern North America
Turmeric,Curcuma longa,365-730,South Asia
Turnip,Brassica rapa subsp. rapa,30-60,Eurasia
Turnip Greens,Brassica rapa subsp. rapa,30-60,Europe/Asia
Tzimbalo,Solanum caripense,60-90,South America
Ulluco,Ullucus tuberosus,150-180,Andes/South America
Umbrella Plant,Schefflera arboricola,365-730,Africa/Madagascar
Umbrella Tree,Schefflera actinophylla,365-730,Australia/New Guinea
Valerian,Valeriana officinalis,90-120,Europe/Asia
Vallisneria,Vallisneria spiralis,30-60,Worldwide (aquatic)
Vanilla,Vanilla planifolia,1095-1460,Mesoamerica
Venus Flytrap,Dionaea muscipula,1095-1460,Coastal North & South Carolina (USA)
Verbena,Verbena officinalis,60-90,Americas/Europe/Asia
Viburnum,Viburnum opulus,90-120,Northern Hemisphere (various)
Vietnamese Coriander,Persicaria odorata,60-90,Southeast Asia
Violet,Viola spp.,60-90,Northern Hemisphere (various)
Virginia Bluebells,Mertensia virginica,60-90,Eastern North America
Virginia Creeper,Parthenocissus quinquefolia,365-730,Eastern North America
Virginia Round-leaf Birch,Betula uber,60-90,Virginia
Virginia Sneezeweed,Helenium virginicum,60-90,Eastern United States
Virginia Spiraea,Spiraea virginiana,60-90,Virginia
Virginia Wild Rye,Elymus virginicus,90-120,North America
Wallflower,Erysimum cheiri,60-90,Europe/Asia
Walnut,Juglans regia,1825-3650,Eurasia/North America
Wasabi,Eutrema japonicum,365-730,Japan
Water Celery,Oenanthe javanica,60-90,Asia
Water Chestnut,Eleocharis dulcis,90-120,Asia/Africa/Oceania
Water Clover,Marsilea quadrifolia,60-90,Worldwide (various)
Water Fern,Salvinia natans,30-60,South America/Africa
Water Forget-me-not,Myosotis scorpioides,60-90,Europe/Asia
Water Hawthorn,Aponogeton distachyos,60-90,South Africa
Water Hemlock,Cicuta maculata,60-90,North America/Europe/Asia
Water Hyacinth,Eichhornia crassipes,60-90,Amazon Basin
Water Lettuce,Pistia stratiotes,60-90,Pan-tropical (Africa/Asia)
Water Lily,Nymphaea spp.,60-120,Worldwide
Water Milfoil,Myriophyllum spicatum,30-60,Worldwide (various)
Water Mint,Mentha aquatica,60-90,Europe/Asia
Water Pepper,Persicaria hydropiper,60-90,Europe/Asia
Water Plantain,Alisma plantago-aquatica,60-90,Northern Hemisphere (various)
Water Purslane,Ludwigia palustris,60-90,Worldwide (various)
Water Shield,Brasenia schreberi,60-90,Asia/North America
Water Smartweed,Persicaria amphibia,60-90,North America
